opposition,home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,Away,96,1264,34,42,47,2560,75.29411764705883,37.1764705882353,2.9625000000000004
Australia,Home,126,2200,84,81,89,3952,47.04761904761905,26.19047619047619,3.340080971659919
Bangladesh,Away,24,319,8,10,16,612,76.5,39.875,3.1274509803921573
India,Away,37,539,10,15,18,990,99.0,53.9,3.2666666666666666
India,Home,137,1258,60,56,66,2874,47.9,20.966666666666665,2.626304801670146
Ireland,Home,8,79,7,2,6,162,23.142857142857142,11.285714285714286,2.925925925925926
New Zealand,Away,81,968,34,33,37,2045,60.14705882352941,28.470588235294116,2.8400977995110024
New Zealand,Home,35,826,32,37,35,1356,42.375,25.8125,3.654867256637168
Pakistan,Home,88,839,34,36,49,1892,55.64705882352941,24.676470588235293,2.660676532769556
Pakistan,Neutral,66,457,20,25,26,1252,62.6,22.85,2.1900958466453675
South Africa,Away,74,806,31,34,30,1765,56.935483870967744,26.0,2.739943342776204
South Africa,Home,75,1181,30,48,47,2167,72.23333333333333,39.36666666666667,3.2699584679280114
Sri Lanka,Away,12,249,3,8,12,492,164.0,83.0,3.0365853658536586
Sri Lanka,Home,65,927,27,30,40,1842,68.22222222222223,34.333333333333336,3.019543973941368
West Indies,Away,84,810,26,37,44,1848,71.07692307692308,31.153846153846153,2.62987012987013
West Indies,Home,53,833,31,27,33,1561,50.354838709677416,26.870967741935484,3.201793721973094
