home_or_away,opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,Australia,38,482,16,16,24,1023,63.9375,30.125,2.8269794721407626
Away,Bangladesh,4,65,2,4,3,186,93.0,32.5,2.096774193548387
Away,England,52,518,22,27,30,1205,54.77272727272727,23.545454545454547,2.579253112033195
Away,India,23,216,5,6,9,522,104.4,43.2,2.4827586206896552
Away,New Zealand,47,528,23,19,24,1131,49.17391304347826,22.956521739130434,2.8010610079575597
Away,Sri Lanka,21,190,3,14,14,418,139.33333333333334,63.333333333333336,2.727272727272727
Away,Zimbabwe,8,76,1,4,4,168,168.0,76.0,2.7142857142857144
Home,Australia,73,826,37,31,44,1738,46.972972972972975,22.324324324324323,2.851553509781358
Home,India,59,466,25,17,24,1130,45.2,18.64,2.4743362831858406
Home,New Zealand,17,172,11,10,12,390,35.45454545454545,15.636363636363637,2.646153846153846
Home,Pakistan,47,408,21,18,25,948,45.142857142857146,19.428571428571427,2.5822784810126582
Home,Sri Lanka,42,495,36,19,32,1039,28.86111111111111,13.75,2.8585178055822906
Home,West Indies,20,176,6,11,11,450,75.0,29.333333333333332,2.3466666666666667
Home,Zimbabwe,7,31,2,4,5,102,51.0,15.5,1.8235294117647056
Neutral,Pakistan,15,138,6,8,10,330,55.0,23.0,2.509090909090909
